Көрсөткүчтөрдүн аталышы,Наименование показателей,Items,1989,1999,2009,2022
15 жаш жана андан улуу курактагы калктын саны,Численность населения в возрасте 15 лет и старше,Total population with education  at age 15 years and over  ,2661901,3090680,3738226.0,4645716.0
 Билими барлар:, Имеющие образование:,,,,,
  Кесиптик жогорку,  Высшее профессиональное,Higher professional education,251246,324414,463346.0,1134147.0
  Бүтпөгөн жогорку,  Незаконченное высшее,Incomplete higher education,43245,47706,133196.0,226059.0
  Кесиптик орто ,  Среднее профессиональное,Secondary professional education,418716,333181,264208.0,819150.0
   Кесиптик башталгыч,  Начальное профессиональное,Initial professional education,...,...,197476.0,184963.0
  Орто жалпы 1,  Среднее общее1,Secondary general education1,1040494,1545626,1968846.0,1607987.0
  Жалпы негизги ,  Основное общее,Incomplete secondary education,489786,566351,443594.0,442062.0
  Жалпы башталгыч,  Начальное общее,Elementary education,240922,193767,203717.0,182196.0
  Жалпы башталгыч билими жок,  Не имеющие начального общего,Formal education,177492,79635,63843.0,49152.0
 анын ичинен: ,  из них:,of these:,,,,
   Сабатсыздар,   Неграмотные ,Illiterates,80417,40129,28358.0,86330.0
"1 1989-ж., 1999-ж.  башталгыч кесиптик билим берүүнү кошкондо","1 1989г.,1999г.включая начальное профессиональное образование","1 1989, 1999, including primary vocational education",,,,
