Country,Group,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Azerbaijan,CIS,21.0,29.0,41.0,132.0,57.0,56.0,153.0,33.0,132.0,21.0,11.0,21.0,15.0,17.0,37.0
Armenia,CIS,3.0,8.0,1.0,,,,,,2.0,,,1.0,,,
Belarus,CIS,,3.0,8.0,,,,,,,,42.0,1.0,4.0,4.0,5.0
Kazakstan,CIS,2700.0,2941.0,4357.0,4338.0,4828.0,5184.0,4655.0,3294.0,2479.0,2083.0,2178.0,1985.0,3179.0,2315.0,2766.0
Moldavia,CIS,2.0,2.0,152.0,3.0,23.0,3.0,,,,,,,,,
Russia,CIS,818.0,847.0,927.0,1225.0,1377.0,1186.0,910.0,1535.0,1622.0,1844.0,2005.0,1672.0,1916.0,2623.0,2748.0
Tajikistan,CIS,570.0,1113.0,885.0,1130.0,1423.0,1840.0,1864.0,1856.0,2365.0,2439.0,1932.0,1595.0,876.0,492.0,450.0
Turkmenstan,CIS,1567.0,571.0,369.0,240.0,129.0,111.0,60.0,51.0,100.0,121.0,146.0,219.0,64.0,63.0,123.0
Ukraine,CIS,11.0,10.0,18.0,33.0,9.0,9.0,12.0,2.0,1.0,3.0,4.0,4.0,17.0,13.0,7.0
Uzbekistan,CIS,4122.0,1544.0,1219.0,1094.0,620.0,519.0,540.0,882.0,2063.0,14538.0,37571.0,51605.0,40282.0,24526.0,18937.0
Afghanistan,Non-CIS,73.0,74.0,54.0,66.0,107.0,123.0,148.0,169.0,161.0,141.0,49.0,274.0,347.0,358.0,229.0
China,Non-CIS,539.0,433.0,385.0,255.0,267.0,187.0,269.0,273.0,220.0,204.0,99.0,216.0,399.0,494.0,910.0
India,Non-CIS,581.0,788.0,1137.0,1709.0,2377.0,3917.0,4745.0,6828.0,8662.0,10749.0,12272.0,14377.0,15306.0,14424.0,12610.0
Iran,Non-CIS,17.0,21.0,25.0,2.0,7.0,7.0,2.0,1.0,3.0,9.0,7.0,3.0,10.0,2.0,1.0
Mongolia,Non-CIS,13.0,7.0,2.0,1.0,8.0,8.0,6.0,9.0,13.0,19.0,26.0,26.0,20.0,14.0,22.0
Nepal,Non-CIS,82.0,50.0,21.0,45.0,23.0,17.0,15.0,24.0,11.0,7.0,3.0,1.0,4.0,9.0,2.0
Syria,Non-CIS,27.0,24.0,43.0,7.0,15.0,16.0,14.0,16.0,20.0,24.0,21.0,10.0,23.0,16.0,22.0
Pakistan,Non-CIS,955.0,928.0,778.0,628.0,559.0,413.0,390.0,579.0,830.0,3533.0,6003.0,7498.0,8407.0,9589.0,9110.0
Turkey,Non-CIS,793.0,727.0,772.0,679.0,696.0,695.0,655.0,624.0,510.0,532.0,509.0,499.0,467.0,425.0,444.0
Georgia,Non-CIS,5.0,4.0,3.0,1.0,2.0,1.0,,,1.0,2.0,1.0,1.0,,,
Other countries,Non-CIS,281.0,43.0,66.0,74.0,196.0,243.0,276.0,358.0,431.0,327.0,539.0,693.0,338.0,443.0,1130.0
