Көрсөткүчтөрдүн аталышы,Наименование показателей,Name of indicators,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Баары,Всего,Total,9814,7068.0,7977.0,8195,8466,8908,8194,7653,8764,21049,43889,57103,46353,30053,25073
анын ичинен:,в том числе:,ncluding:,,,,,,,,,,,,,,,
Азербайжан,Азербайжан,Azerbaijan,21,29.0,41.0,132,57,56,153,33,132,21,11,21,15,17,37
Армения,Армения,Armenia,3,8.0,1.0,-,-,-,-,-,2,-,-,1,-,-,-
Белоруссия,Белоруссия,Belarus,-,3.0,8.0,-,-,-,-,-,-,-,42,1,4,4,5
Казакстан,Казакстан,Kazakstan,2700,2941.0,4357.0,4338,4828,5184,4655,3294,2479,2083,2178,1985,3179,2315,2766
Молдавия,Молдавия,Moldavia,2,2.0,152.0,3,23,3,-,-,-,-,-,-,-,-,
Орусия,Россия,Russia,818,847.0,927.0,1225,1377,1186,910,1535,1622,1844,2005,1672,1916,2623,2748
Тажикистан,Тажикистан,Tajikistan,570,1113.0,885.0,1130,1423,1840,1864,1856,2365,2439,1932,1595,876,492,450
Түркменстан,Түркменстан,Turkmenstan,1567,571.0,369.0,240,129,111,60,51,100,121,146,219,64,63,123
Украина,Украина,Ukraine,11,10.0,18.0,33,9,9,12,2,1,3,4,4,17,13,7
Өзбекстан,Узбекистан,Uzbekistan,4122,1544.0,1219.0,1094,620,519,540,882,2063,14538,37571,51605,40282,24526,18937
